x,y,z,yaw,velocity,change_flag
1051.4293,-7.5282,0.0000,-0.0180,0,0
1052.4350,-7.5545,0.0000,-0.0150,2.0555,0
1053.4408,-7.5697,0.0000,-0.0127,2.6259,0
1054.4465,-7.5960,0.0000,-0.0102,2.6589,0
1055.4607,-7.6113,0.0000,-0.0082,2.3951,0
1056.7393,-7.6165,0.0000,-0.0058,3.2850,0
1057.7450,-7.6317,0.0000,-0.0038,3.4937,0
1058.7678,-7.6470,0.0000,-0.0023,3.7025,0
1059.8930,-7.6515,0.0000,-0.0006,3.7903,0
1060.9158,-7.6557,0.0000,0.0008,4.3616,0
1062.1859,-7.6609,0.0000,0.0006,4.6912,0
1063.2002,-7.6650,0.0000,0.0002,4.8999,0
1064.3338,-7.6808,0.0000,-0.0002,5.3833,0
1065.3396,-7.6849,0.0000,-0.0031,6.1524,0
1066.3710,-7.6891,0.0000,-0.0073,7.1413,0
1067.4023,-7.7044,0.0000,-0.0128,7.9436,0
1068.4506,-7.7309,0.0000,-0.0209,8.5487,0
1069.4819,-7.7573,0.0000,-0.0291,9.1129,0
1070.5302,-7.7948,0.0000,-0.0376,9.6403,0
1071.6381,-7.8438,0.0000,-0.0468,10.2048,0
1072.6522,-7.8923,0.0000,-0.0546,10.6160,0
1073.6663,-7.9630,0.0000,-0.0612,10.9506,0
1074.7229,-8.0339,0.0000,-0.0644,11.3837,0
1076.2056,-8.1399,0.0000,-0.0677,11.8587,0
1077.2026,-8.2216,0.0000,-0.0692,12.1286,0
1078.2251,-8.3035,0.0000,-0.0715,12.4785,0
1079.2818,-8.3744,0.0000,-0.0734,12.7817,0
1080.3129,-8.4452,0.0000,-0.0732,13.0202,0
1081.8467,-8.5736,0.0000,-0.0717,13.3639,0
1082.8607,-8.6554,0.0000,-0.0698,13.6010,0
1083.9344,-8.7264,0.0000,-0.0677,13.8706,0
1084.9740,-8.7972,0.0000,-0.0662,14.0811,0
1086.0307,-8.8681,0.0000,-0.0656,14.2215,0
1087.0276,-8.9499,0.0000,-0.0658,14.4903,0
1089.0472,-9.0913,0.0000,-0.0650,14.7965,0
1090.0613,-9.1620,0.0000,-0.0648,15.0749,0
1091.0668,-9.2216,0.0000,-0.0644,15.2248,0
1092.0808,-9.3035,0.0000,-0.0642,15.3380,0
1093.1460,-9.3744,0.0000,-0.0639,15.4696,0
1094.1771,-9.4452,0.0000,-0.0637,15.5887,0
1095.8388,-9.5630,0.0000,-0.0631,15.9067,0
1096.8614,-9.6337,0.0000,-0.0623,16.0376,0
1097.9265,-9.7158,0.0000,-0.0617,16.0952,0
1098.9917,-9.7867,0.0000,-0.0606,16.1911,0
1100.0314,-9.8464,0.0000,-0.0594,16.3111,0
1102.2385,-9.9886,0.0000,-0.0568,16.6169,0
1103.2867,-10.0484,0.0000,-0.0550,16.6565,0
1104.3434,-10.1082,0.0000,-0.0535,16.7253,0
1105.3745,-10.1679,0.0000,-0.0520,16.8661,0
1106.4057,-10.2276,0.0000,-0.0502,16.9615,0
1107.4454,-10.2762,0.0000,-0.0487,17.1250,0
1108.4936,-10.3360,0.0000,-0.0472,17.2133,0
1110.1128,-10.4203,0.0000,-0.0447,17.2308,0
1111.1695,-10.4690,0.0000,-0.0437,17.3525,0
1112.1751,-10.5175,0.0000,-0.0431,17.3964,0
1113.2404,-10.5662,0.0000,-0.0420,17.5057,0
1114.3142,-10.6150,0.0000,-0.0403,17.6256,0
1115.3881,-10.6527,0.0000,-0.0387,17.6779,0
1116.4704,-10.7015,0.0000,-0.0374,17.7548,0
1118.6010,-10.7879,0.0000,-0.0353,17.9077,0
1119.6408,-10.8254,0.0000,-0.0341,17.9406,0
1120.7316,-10.8742,0.0000,-0.0328,17.9732,0
1121.7373,-10.9116,0.0000,-0.0314,18.0387,0
1122.7430,-10.9490,0.0000,-0.0305,18.1131,0
1123.7486,-10.9864,0.0000,-0.0299,18.1694,0
1124.7543,-11.0127,0.0000,-0.0293,18.2456,0
1127.2259,-11.0894,0.0000,-0.0288,18.2998,0
1128.2401,-11.1268,0.0000,-0.0288,18.3554,0
1129.2628,-11.1643,0.0000,-0.0286,18.3880,0
1130.2856,-11.1906,0.0000,-0.0286,18.4759,0
1131.3083,-11.2281,0.0000,-0.0284,18.4865,0
1132.3395,-11.2656,0.0000,-0.0278,18.5305,0
1133.3623,-11.2919,0.0000,-0.0265,18.5305,0
1135.1180,-11.3435,0.0000,-0.0236,18.6041,0
1136.1493,-11.3699,0.0000,-0.0222,18.6600,0
1137.1891,-11.3963,0.0000,-0.0217,18.7027,0
1138.2204,-11.4227,0.0000,-0.0213,18.6809,0
1139.2516,-11.4491,0.0000,-0.0209,18.7042,0
1140.3000,-11.4756,0.0000,-0.0201,18.7686,0
1141.3398,-11.5020,0.0000,-0.0198,18.8240,0
1143.9052,-11.5568,0.0000,-0.0184,18.8888,0
1144.9536,-11.5722,0.0000,-0.0184,18.8649,0
1145.9934,-11.5986,0.0000,-0.0190,18.8994,0
1147.0503,-11.6251,0.0000,-0.0198,18.9892,0
1148.0985,-11.6738,0.0000,-0.0207,18.9823,0
1149.1468,-11.7003,0.0000,-0.0215,18.9450,0
1150.2037,-11.7157,0.0000,-0.0222,18.9777,0
1152.7861,-11.7928,0.0000,-0.0242,19.1432,0
1153.8600,-11.8193,0.0000,-0.0249,19.2860,0
1154.9254,-11.8459,0.0000,-0.0257,19.3642,0
1155.9481,-11.8833,0.0000,-0.0263,19.5073,0
1157.0220,-11.9099,0.0000,-0.0267,19.5402,0
1158.1129,-11.9476,0.0000,-0.0268,19.7495,0
1159.2124,-11.9743,0.0000,-0.0272,19.9359,0
1161.6755,-12.0509,0.0000,-0.0272,20.3224,0
1162.6897,-12.0773,0.0000,-0.0267,20.4405,0
1163.7124,-12.1147,0.0000,-0.0259,20.6076,0
1164.7522,-12.1411,0.0000,-0.0251,20.7591,0
1165.7920,-12.1676,0.0000,-0.0242,20.8904,0
1166.8914,-12.2053,0.0000,-0.0232,21.0658,0
1167.9483,-12.2318,0.0000,-0.0224,21.1759,0
1169.7722,-12.2725,0.0000,-0.0207,21.4492,0
1170.8461,-12.2991,0.0000,-0.0201,21.5812,0
1171.9200,-12.3257,0.0000,-0.0192,21.6469,0
1173.0024,-12.3523,0.0000,-0.0184,21.7124,0
1174.0252,-12.3786,0.0000,-0.0174,21.8550,0
1175.1162,-12.3942,0.0000,-0.0165,21.9420,0
1176.2242,-12.4209,0.0000,-0.0155,22.1183,0
1177.3237,-12.4364,0.0000,-0.0146,22.1837,0
1178.4317,-12.4631,0.0000,-0.0136,22.2931,0
1180.9120,-12.4954,0.0000,-0.0111,22.5668,0
1181.9178,-12.5106,0.0000,-0.0102,22.6984,0
1182.9320,-12.5258,0.0000,-0.0092,22.8081,0
1184.0657,-12.5304,0.0000,-0.0082,22.9288,0
1185.1567,-12.5460,0.0000,-0.0071,23.1048,0
1186.1795,-12.5612,0.0000,-0.0065,23.1926,0
1187.2109,-12.5654,0.0000,-0.0063,23.3243,0
1188.3104,-12.5810,0.0000,-0.0069,23.4232,0
1190.6543,-12.6127,0.0000,-0.0102,23.6001,0
1191.7027,-12.6281,0.0000,-0.0121,23.7218,0
1192.8278,-12.6438,0.0000,-0.0130,23.8756,0
1193.9017,-12.6592,0.0000,-0.0140,24.1388,0
1194.9671,-12.6857,0.0000,-0.0144,24.2592,0
1195.9729,-12.6898,0.0000,-0.0155,24.3466,0
1196.9871,-12.7161,0.0000,-0.0157,24.4589,0
1198.0781,-12.7317,0.0000,-0.0173,24.5247,0
1201.2146,-12.8110,0.0000,-0.0199,24.4867,0
1202.2884,-12.8487,0.0000,-0.0209,24.5948,0
1203.3793,-12.8753,0.0000,-0.0219,24.6822,0
1204.4788,-12.9020,0.0000,-0.0230,24.8352,0
1205.5868,-12.9287,0.0000,-0.0240,24.9219,0
1206.6266,-12.9551,0.0000,-0.0251,25.0326,0
1207.7261,-12.9818,0.0000,-0.0268,25.0899,0
1208.8510,-13.0307,0.0000,-0.0291,25.2150,0
1209.8908,-13.0571,0.0000,-0.0307,25.2906,0
1212.7033,-13.1685,0.0000,-0.0357,25.4701,0
1213.8367,-13.2175,0.0000,-0.0376,25.5290,0
1214.8935,-13.2551,0.0000,-0.0393,25.6396,0
1215.8992,-13.2924,0.0000,-0.0408,25.7819,0
1216.9645,-13.3412,0.0000,-0.0424,25.8051,0
1217.9701,-13.3896,0.0000,-0.0435,25.8737,0
1219.0439,-13.4384,0.0000,-0.0439,25.9853,0
1220.0495,-13.4869,0.0000,-0.0441,26.0507,0
1221.0637,-13.5354,0.0000,-0.0445,26.1754,0
1222.0778,-13.5839,0.0000,-0.0447,26.2861,0
1225.1458,-13.7407,0.0000,-0.0454,26.5041,0
1226.1684,-13.7892,0.0000,-0.0454,26.5136,0
1227.1997,-13.8267,0.0000,-0.0453,26.6005,0
1228.2308,-13.8864,0.0000,-0.0451,26.6348,0
1229.3387,-13.9353,0.0000,-0.0449,26.7336,0
1230.4466,-13.9953,0.0000,-0.0447,26.8224,0
1231.4863,-14.0439,0.0000,-0.0445,26.8763,0
1232.6794,-14.0931,0.0000,-0.0441,26.9174,0
1235.8156,-14.2501,0.0000,-0.0428,27.0434,0
1236.9405,-14.3102,0.0000,-0.0416,27.1187,0
1237.9972,-14.3589,0.0000,-0.0405,27.1379,0
1239.1222,-14.4078,0.0000,-0.0395,27.1374,0
1240.1705,-14.4454,0.0000,-0.0383,26.9253,0
1241.2869,-14.4943,0.0000,-0.0374,26.8229,0
1242.3181,-14.5429,0.0000,-0.0364,26.5771,0
1243.4175,-14.5807,0.0000,-0.0360,26.3046,0
1244.4317,-14.6181,0.0000,-0.0353,26.0430,0
1245.5055,-14.6668,0.0000,-0.0343,25.6678,0
1247.8748,-14.7541,0.0000,-0.0316,24.7762,0
1248.9572,-14.7918,0.0000,-0.0297,24.3469,0
1249.9628,-14.8292,0.0000,-0.0280,23.9931,0
1251.0964,-14.8560,0.0000,-0.0265,23.6607,0
1252.1276,-14.8935,0.0000,-0.0247,23.2209,0
1253.1419,-14.9198,0.0000,-0.0230,22.7588,0
1254.1476,-14.9461,0.0000,-0.0219,22.3622,0
1255.2470,-14.9727,0.0000,-0.0209,21.9008,0
1256.2698,-14.9991,0.0000,-0.0205,21.5050,0
1258.6563,-15.0531,0.0000,-0.0205,20.4079,0
1259.7131,-15.0907,0.0000,-0.0213,19.9897,0
1260.8125,-15.1174,0.0000,-0.0224,19.5399,0
1261.8864,-15.1439,0.0000,-0.0230,19.1103,0
1262.9262,-15.1814,0.0000,-0.0242,18.6273,0
1263.9404,-15.2078,0.0000,-0.0251,18.1984,0
1264.9802,-15.2342,0.0000,-0.0265,17.7285,0
1267.4688,-15.3220,0.0000,-0.0301,17.7065,0
1268.5513,-15.3485,0.0000,-0.0316,17.9261,0
1269.6507,-15.3863,0.0000,-0.0336,18.1474,0
1270.6648,-15.4348,0.0000,-0.0351,18.4253,0
