x,y,z,yaw,velocity,change_flag
1298.0411,-16.0119,0.0000,-3.1136,0,0
1297.0097,-16.0299,0.0000,-3.1282,5.2852,0
1295.9953,-16.0369,0.0000,-3.1391,6.7788,0
1294.2991,-16.0189,0.0000,3.1322,8.4597,0
1293.2934,-16.0038,0.0000,3.1276,9.2518,0
1292.2535,-15.9885,0.0000,3.1245,9.9652,0
1291.2308,-15.9621,0.0000,3.1209,10.5380,0
1290.1824,-15.9357,0.0000,3.1178,11.1537,0
1289.1597,-15.9093,0.0000,3.1174,11.7045,0
1288.0944,-15.8717,0.0000,3.1134,12.2548,0
1287.0460,-15.8453,0.0000,3.1123,12.7259,0
1285.9722,-15.7965,0.0000,3.1101,13.1456,0
1283.7904,-15.7211,0.0000,3.1075,14.0251,0
1282.7592,-15.6836,0.0000,3.1067,14.4214,0
1281.7535,-15.6462,0.0000,3.1055,14.7311,0
1280.6797,-15.5975,0.0000,3.1042,15.1162,0
1279.6144,-15.5599,0.0000,3.1032,15.4683,0
1278.5747,-15.5113,0.0000,3.1023,15.8002,0
1277.0662,-15.4385,0.0000,3.1015,16.2420,0
1276.0606,-15.4012,0.0000,3.1023,16.5463,0
1275.0038,-15.3525,0.0000,3.1029,16.7777,0
1273.9726,-15.3150,0.0000,3.1038,16.9839,0
1272.9243,-15.2775,0.0000,3.1050,17.2701,0
1271.8590,-15.2288,0.0000,3.1065,17.5226,0
1270.8363,-15.1913,0.0000,3.1084,17.6859,0
1268.7482,-15.1385,0.0000,3.1121,18.1432,0
1267.7340,-15.1010,0.0000,3.1128,18.3435,0
1266.7113,-15.0636,0.0000,3.1126,18.5524,0
1265.6715,-15.0261,0.0000,3.1117,18.8063,0
1264.6232,-14.9885,0.0000,3.1111,18.9490,0
1263.5749,-14.9510,0.0000,3.1109,19.1151,0
1262.5096,-14.9134,0.0000,3.1117,19.2675,0
1259.9783,-14.8365,0.0000,3.1119,19.6171,0
1258.8875,-14.7877,0.0000,3.1134,19.7949,0
1257.8392,-14.7612,0.0000,3.1144,19.9581,0
1256.7823,-14.7237,0.0000,3.1146,20.1339,0
1255.7255,-14.6972,0.0000,3.1151,20.2434,0
1254.7113,-14.6598,0.0000,3.1151,20.3755,0
1253.6971,-14.6335,0.0000,3.1153,20.4966,0
1252.6658,-14.6071,0.0000,3.1155,20.6365,0
1250.7141,-14.5437,0.0000,3.1149,20.8602,0
1249.6743,-14.5061,0.0000,3.1140,20.9371,0
1248.6260,-14.4797,0.0000,3.1138,21.0573,0
1247.5777,-14.4421,0.0000,3.1134,21.2016,0
1246.5721,-14.4048,0.0000,3.1128,21.3117,0
1245.5067,-14.3671,0.0000,3.1124,21.4115,0
1244.4414,-14.3295,0.0000,3.1124,21.4865,0
1243.3675,-14.2919,0.0000,3.1126,21.5659,0
1240.9641,-14.2266,0.0000,3.1111,21.8156,0
1239.8732,-14.1778,0.0000,3.1111,21.9283,0
1238.7738,-14.1400,0.0000,3.1105,22.0381,0
1237.6744,-14.1023,0.0000,3.1101,22.1925,0
1236.5579,-14.0645,0.0000,3.1098,22.3126,0
1235.4414,-14.0266,0.0000,3.1096,22.4122,0
1234.3846,-13.9890,0.0000,3.1092,22.5436,0
1231.6915,-13.8893,0.0000,3.1107,22.6764,0
1230.6176,-13.8517,0.0000,3.1115,22.7848,0
1229.6034,-13.8253,0.0000,3.1123,22.9142,0
1228.5892,-13.7879,0.0000,3.1128,23.0029,0
1227.5068,-13.7502,0.0000,3.1132,23.0795,0
1226.4756,-13.7239,0.0000,3.1134,23.1905,0
1225.4443,-13.6864,0.0000,3.1130,23.2897,0
1224.3534,-13.6486,0.0000,3.1128,23.3333,0
1223.3136,-13.6222,0.0000,3.1124,23.4194,0
1221.1744,-13.5580,0.0000,3.1115,23.4877,0
1220.1261,-13.5205,0.0000,3.1107,23.6437,0
1219.0097,-13.4716,0.0000,3.1103,23.7412,0
1217.9614,-13.4340,0.0000,3.1098,23.8095,0
1216.9046,-13.3964,0.0000,3.1092,23.8085,0
1215.8478,-13.3588,0.0000,3.1086,23.8967,0
1214.7910,-13.3212,0.0000,3.1084,24.0058,0
1213.7171,-13.2836,0.0000,3.1082,24.1053,0
1212.6518,-13.2460,0.0000,3.1086,24.1722,0
1209.9672,-13.1463,0.0000,3.1096,24.3362,0
1208.8849,-13.0975,0.0000,3.1098,24.4570,0
1207.7940,-13.0597,0.0000,3.1103,24.5438,0
1206.7116,-13.0220,0.0000,3.1107,24.5878,0
1205.6888,-12.9957,0.0000,3.1111,24.6753,0
1204.5979,-12.9580,0.0000,3.1111,24.6966,0
1203.5752,-12.9205,0.0000,3.1111,24.7841,0
1202.4673,-12.8827,0.0000,3.1105,24.9522,0
1201.4275,-12.8452,0.0000,3.1100,25.1188,0
1198.5554,-12.7336,0.0000,3.1101,25.3925,0
1197.4986,-12.6960,0.0000,3.1101,25.3801,0
1196.3736,-12.6693,0.0000,3.1109,25.3527,0
1195.3252,-12.6428,0.0000,3.1123,25.2881,0
1194.2088,-12.5939,0.0000,3.1132,25.3318,0
1193.1520,-12.5674,0.0000,3.1136,25.4537,0
1192.0185,-12.5184,0.0000,3.1149,25.5315,0
1190.8850,-12.4805,0.0000,3.1159,25.6323,0
1188.1833,-12.3918,0.0000,3.1176,25.7167,0
1187.1775,-12.3766,0.0000,3.1184,25.7908,0
1186.1037,-12.3389,0.0000,3.1190,25.8679,0
1185.0383,-12.3124,0.0000,3.1192,25.8233,0
1184.0326,-12.2861,0.0000,3.1190,25.8786,0
1183.0269,-12.2598,0.0000,3.1186,25.8796,0
1181.9530,-12.2333,0.0000,3.1180,25.9787,0
1180.9387,-12.2070,0.0000,3.1174,26.0449,0
1179.8563,-12.1804,0.0000,3.1169,26.1871,0
1178.7654,-12.1426,0.0000,3.1161,26.2538,0
1177.7427,-12.1052,0.0000,3.1151,26.3332,0
1174.8279,-12.0156,0.0000,3.1128,26.4324,0
1173.7200,-11.9778,0.0000,3.1119,26.5438,0
1172.6973,-11.9404,0.0000,3.1115,26.5664,0
1171.5893,-11.9026,0.0000,3.1113,26.6429,0
1170.5495,-11.8761,0.0000,3.1113,26.6850,0
1169.4416,-11.8383,0.0000,3.1115,26.7188,0
1168.4018,-11.8008,0.0000,3.1117,26.7641,0
1167.2853,-11.7630,0.0000,3.1121,26.8409,0
1166.2455,-11.7365,0.0000,3.1124,26.8610,0
1163.7143,-11.6485,0.0000,3.1140,26.9263,0
1162.6660,-11.6110,0.0000,3.1146,26.9910,0
1161.6177,-11.5845,0.0000,3.1149,27.0676,0
1160.5694,-11.5581,0.0000,3.1155,27.0347,0
1159.3677,-11.5199,0.0000,3.1159,27.0671,0
1158.2426,-11.4931,0.0000,3.1163,27.1215,0
1157.1943,-11.4555,0.0000,3.1165,27.1344,0
1156.0608,-11.4176,0.0000,3.1169,27.2326,0
1154.9273,-11.3908,0.0000,3.1169,27.3098,0
