x,y,z,yaw,velocity,change_flag
573.4211,-5147.9680,0.0000,0.2834,0,0
574.6168,-5147.6067,0.0000,0.3030,5.2641,0
575.5734,-5147.2999,0.0000,0.3112,6.6985,0
576.5556,-5146.9820,0.0000,0.3143,7.8969,0
577.9734,-5146.5328,0.0000,0.3164,9.3665,0
578.9556,-5146.2039,0.0000,0.3170,10.2767,0
579.9464,-5145.8861,0.0000,0.3168,11.1522,0
580.9201,-5145.5683,0.0000,0.3141,11.8923,0
582.3977,-5145.0860,0.0000,0.3095,13.0013,0
583.3884,-5144.7793,0.0000,0.3068,13.6860,0
584.3535,-5144.4726,0.0000,0.3041,14.3223,0
585.3613,-5144.1659,0.0000,0.3009,14.9665,0
586.3349,-5143.8592,0.0000,0.2982,15.5585,0
587.3000,-5143.5635,0.0000,0.2951,16.0722,0
588.2650,-5143.2789,0.0000,0.2930,16.6078,0
589.7425,-5142.8299,0.0000,0.2903,17.3188,0
590.7246,-5142.5454,0.0000,0.2890,17.7860,0
591.6896,-5142.2608,0.0000,0.2876,18.2248,0
592.6632,-5141.9763,0.0000,0.2869,18.5806,0
593.6624,-5141.6807,0.0000,0.2857,18.9626,0
594.6359,-5141.3962,0.0000,0.2847,19.3289,0
595.6265,-5141.1117,0.0000,0.2838,19.6743,0
597.5480,-5140.5647,0.0000,0.2817,20.3608,0
598.5300,-5140.2801,0.0000,0.2803,20.6399,0
599.5292,-5139.9957,0.0000,0.2796,20.9326,0
600.5369,-5139.7113,0.0000,0.2784,21.1861,0
601.5701,-5139.4270,0.0000,0.2778,21.5060,0
602.6034,-5139.1315,0.0000,0.2773,21.7505,0
603.6623,-5138.8362,0.0000,0.2769,22.0523,0
604.7213,-5138.5298,0.0000,0.2765,22.3330,0
607.1464,-5137.8628,0.0000,0.2761,22.9698,0
608.1285,-5137.5894,0.0000,0.2761,23.1751,0
609.1276,-5137.3049,0.0000,0.2763,23.4286,0
610.1951,-5136.9986,0.0000,0.2763,23.6867,0
611.2112,-5136.7253,0.0000,0.2761,23.8995,0
612.1762,-5136.4518,0.0000,0.2757,24.1243,0
613.2095,-5136.1564,0.0000,0.2755,24.3658,0
614.2598,-5135.8721,0.0000,0.2752,24.5770,0
615.2504,-5135.5876,0.0000,0.2750,24.7929,0
617.5219,-5134.9644,0.0000,0.2748,25.2502,0
618.6064,-5134.6581,0.0000,0.2748,25.4343,0
619.6995,-5134.3518,0.0000,0.2748,25.6561,0
620.8011,-5134.0456,0.0000,0.2746,25.8554,0
