x,y,z,yaw,velocity,change_flag
577.6667,-5160.8608,0.0000,0.2788,0,0
578.6233,-5160.5429,0.0000,0.3310,3.6413,0
579.5800,-5160.2250,0.0000,0.3145,5.1733,0
580.5365,-5159.9293,0.0000,0.2939,6.4643,0
581.5271,-5159.6448,0.0000,0.2750,7.7522,0
582.5348,-5159.3715,0.0000,0.2612,8.8235,0
583.6278,-5159.0763,0.0000,0.2592,9.7584,0
584.6097,-5158.8251,0.0000,0.2541,10.5469,0
585.5832,-5158.5738,0.0000,0.2539,11.2828,0
586.5651,-5158.3226,0.0000,0.2541,12.0712,0
587.5385,-5158.0713,0.0000,0.2544,12.8440,0
588.8621,-5157.7216,0.0000,0.2548,13.7952,0
589.8525,-5157.4704,0.0000,0.2552,14.5015,0
590.8942,-5157.2084,0.0000,0.2560,15.1999,0
591.9360,-5156.9352,0.0000,0.2571,15.8452,0
592.9350,-5156.6729,0.0000,0.2581,16.4184,0
593.9256,-5156.4107,0.0000,0.2592,16.9570,0
596.4275,-5155.7550,0.0000,0.2614,18.1778,0
597.4180,-5155.4817,0.0000,0.2621,18.6393,0
598.4256,-5155.2194,0.0000,0.2631,19.0526,0
599.4588,-5154.9462,0.0000,0.2638,19.4467,0
600.5177,-5154.6620,0.0000,0.2648,19.8398,0
601.5936,-5154.3668,0.0000,0.2656,20.2368,0
602.5756,-5154.1045,0.0000,0.2663,20.5837,0
604.5994,-5153.5579,0.0000,0.2677,21.2611,0
605.6327,-5153.2735,0.0000,0.2686,21.5868,0
606.6830,-5152.9893,0.0000,0.2694,21.9279,0
607.7504,-5152.6940,0.0000,0.2702,22.2672,0
608.8264,-5152.3988,0.0000,0.2711,22.5342,0
609.8596,-5152.1145,0.0000,0.2717,22.8254,0
610.8417,-5151.8411,0.0000,0.2725,23.0877,0
611.8323,-5151.5677,0.0000,0.2732,23.3472,0
612.8997,-5151.2724,0.0000,0.2734,23.6129,0
615.6579,-5150.5068,0.0000,0.2736,24.3086,0
616.6485,-5150.2335,0.0000,0.2730,24.5909,0
617.6989,-5149.9381,0.0000,0.2721,24.7766,0
618.6979,-5149.6648,0.0000,0.2709,25.0136,0
619.7739,-5149.3806,0.0000,0.2696,25.2253,0
620.7901,-5149.0962,0.0000,0.2686,25.4218,0
621.8831,-5148.8011,0.0000,0.2673,25.6376,0
622.9248,-5148.5279,0.0000,0.2663,25.8447,0
625.7940,-5147.7517,0.0000,0.2642,26.3988,0
626.8614,-5147.4675,0.0000,0.2633,26.6002,0
627.8604,-5147.2053,0.0000,0.2623,26.8046,0
628.8680,-5146.9319,0.0000,0.2614,26.9723,0
629.8927,-5146.6698,0.0000,0.2604,27.1690,0
630.9174,-5146.3965,0.0000,0.2592,27.3601,0
631.9505,-5146.1344,0.0000,0.2581,27.5250,0
633.1375,-5145.8174,0.0000,0.2571,27.7134,0
634.2560,-5145.5335,0.0000,0.2568,27.9131,0
635.2294,-5145.2822,0.0000,0.2573,28.0495,0
637.8082,-5144.6047,0.0000,0.2596,28.4740,0
638.8072,-5144.3424,0.0000,0.2606,28.6424,0
639.8063,-5144.0802,0.0000,0.2614,28.7550,0
640.8907,-5143.7961,0.0000,0.2621,28.9128,0
641.8983,-5143.5339,0.0000,0.2629,29.0863,0
