x,y,z,yaw,velocity,change_flag
580.5461,-5159.6851,0.0000,0.2397,0,0
581.5279,-5159.4561,0.0000,0.2424,3.5652,0
582.5269,-5159.2160,0.0000,0.2437,5.6036,0
583.5174,-5158.9649,0.0000,0.2451,7.0798,0
584.4993,-5158.7247,0.0000,0.2462,8.2949,0
585.9764,-5158.3646,0.0000,0.2477,9.8563,0
586.9583,-5158.1133,0.0000,0.2489,10.7597,0
587.9317,-5157.8732,0.0000,0.2500,11.6230,0
588.9308,-5157.6109,0.0000,0.2516,12.4068,0
590.3226,-5157.2504,0.0000,0.2518,13.4731,0
591.3302,-5156.9882,0.0000,0.2554,14.1425,0
592.3804,-5156.7261,0.0000,0.2568,14.8269,0
593.3966,-5156.4529,0.0000,0.2581,15.4694,0
594.4212,-5156.1907,0.0000,0.2589,16.1002,0
595.4715,-5155.9176,0.0000,0.2598,16.6365,0
596.4705,-5155.6553,0.0000,0.2608,17.1431,0
598.2210,-5155.1964,0.0000,0.2633,17.9273,0
599.1944,-5154.9451,0.0000,0.2652,18.3492,0
600.1850,-5154.6717,0.0000,0.2665,18.7500,0
601.2011,-5154.3985,0.0000,0.2684,19.1287,0
602.2429,-5154.1253,0.0000,0.2698,19.5344,0
603.2933,-5153.8299,0.0000,0.2715,19.8796,0
604.3692,-5153.5347,0.0000,0.2725,20.2584,0
606.6834,-5152.9005,0.0000,0.2738,20.9947,0
607.7081,-5152.6162,0.0000,0.2742,21.2964,0
608.7414,-5152.3319,0.0000,0.2742,21.5893,0
609.7917,-5152.0365,0.0000,0.2740,21.9032,0
610.8506,-5151.7412,0.0000,0.2734,22.1656,0
611.9266,-5151.4460,0.0000,0.2730,22.4690,0
612.9513,-5151.1616,0.0000,0.2723,22.7272,0
613.9333,-5150.8993,0.0000,0.2709,22.9659,0
615.8546,-5150.3745,0.0000,0.2684,23.3906,0
616.8537,-5150.1011,0.0000,0.2671,23.6035,0
617.9382,-5149.8059,0.0000,0.2656,23.8396,0
618.9629,-5149.5438,0.0000,0.2640,24.0198,0
620.0047,-5149.2595,0.0000,0.2623,24.2271,0
620.9781,-5149.0082,0.0000,0.2610,24.3835,0
621.9686,-5148.7459,0.0000,0.2594,24.5753,0
623.0274,-5148.4728,0.0000,0.2579,24.7615,0
624.0947,-5148.1997,0.0000,0.2564,24.9074,0
625.1706,-5147.9156,0.0000,0.2550,25.0669,0
627.4078,-5147.3477,0.0000,0.2525,25.3860,0
628.5092,-5147.0748,0.0000,0.2510,25.5565,0
